Tr_ID,Or_ID,Transaction_Mode,Tran_Status
TR_41002718,OR_31000939,Wallet,Failed
TR_41002719,OR_31005277,Debit Card,Successful
TR_41002720,OR_31000185,Wallet,Successful
TR_41002721,OR_31005335,Wallet,Failed
TR_41002722,OR_31000602,Net Banking,Successful
TR_41002723,OR_31000994,Credit Card,Failed
TR_41002724,OR_31006895,Net Banking,Failed
TR_41002725,OR_31001333,Credit Card,Successful
TR_41002726,OR_31001917,Wallet,Failed
TR_41002727,OR_31004644,Debit Card,Failed
TR_41002728,OR_31000677,Debit Card,Successful
TR_41002729,OR_31001297,Net Banking,Failed
TR_41002730,OR_31008211,Credit Card,Failed
TR_41002731,OR_31000961,Net Banking,Failed
TR_41002732,OR_31004813,UPI,Failed
TR_41002733,OR_31000423,Net Banking,Failed
TR_41002734,OR_31000633,Net Banking,Failed
TR_41002735,OR_31001126,UPI,Failed
TR_41002736,OR_31009118,Credit Card,Successful
TR_41002737,OR_31000859,Credit Card,Failed
TR_41002738,OR_31007339,Debit Card,Failed
TR_41002739,OR_31002529,Net Banking,Successful
TR_41002740,OR_31003143,Credit Card,Failed
TR_41002741,OR_31001161,UPI,Successful
TR_41002742,OR_31000165,Wallet,Failed
TR_41002743,OR_31003178,Wallet,Successful
TR_41002744,OR_31008124,Wallet,Successful
TR_41002745,OR_31003128,Wallet,Successful
TR_41002746,OR_31003447,UPI,Failed
TR_41002747,OR_31006545,Debit Card,Failed
TR_41002748,OR_31008386,Net Banking,Successful
TR_41002749,OR_31006184,UPI,Successful
TR_41002750,OR_31002621,Debit Card,Successful
TR_41002751,OR_31008892,Credit Card,Successful
TR_41002752,OR_31004629,Wallet,Successful
TR_41002753,OR_31002451,UPI,Failed
TR_41002754,OR_31009619,UPI,Failed
TR_41002755,OR_31002688,Wallet,Failed
TR_41002756,OR_31000244,Debit Card,Successful
TR_41002757,OR_31005797,Wallet,Failed
TR_41002758,OR_31000623,UPI,Failed
TR_41002759,OR_31007600,UPI,Failed
TR_41002760,OR_31002428,Wallet,Failed
TR_41002761,OR_31001619,Debit Card,Failed
TR_41002762,OR_31007880,Credit Card,Successful
TR_41002763,OR_31005552,Net Banking,Successful
TR_41002764,OR_31004038,Debit Card,Failed
TR_41002765,OR_31003170,Debit Card,Successful
TR_41002766,OR_31005373,UPI,Failed
TR_41002767,OR_31002396,UPI,Failed
TR_41002768,OR_31003130,Credit Card,Failed
TR_41002769,OR_31004883,Credit Card,Successful
TR_41002770,OR_31007316,Credit Card,Successful
TR_41002771,OR_31008124,Credit Card,Successful
TR_41002772,OR_31008450,Net Banking,Failed
TR_41002773,OR_31000661,Credit Card,Successful
TR_41002774,OR_31003591,Credit Card,Successful
TR_41002775,OR_31007719,Debit Card,Successful
TR_41002776,OR_31004270,UPI,Failed
TR_41002777,OR_31003138,Debit Card,Failed
TR_41002778,OR_31007074,Wallet,Successful
TR_41002779,OR_31009344,Wallet,Successful
TR_41002780,OR_31006530,Wallet,Successful
TR_41002781,OR_31007958,Wallet,Successful
TR_41002782,OR_31009614,Wallet,Failed
TR_41002783,OR_31007605,Wallet,Successful
TR_41002784,OR_31006608,Net Banking,Successful
TR_41002785,OR_31007059,Debit Card,Failed
TR_41002786,OR_31007074,Net Banking,Successful
TR_41002787,OR_31002627,Net Banking,Successful
TR_41002788,OR_31003534,Net Banking,Successful
TR_41002789,OR_31009347,Debit Card,Successful
TR_41002790,OR_31002227,Credit Card,Successful
TR_41002791,OR_31000707,UPI,Failed
TR_41002792,OR_31000488,Wallet,Successful
TR_41002793,OR_31000308,Credit Card,Successful
TR_41002794,OR_31002179,Net Banking,Successful
TR_41002795,OR_31007633,Debit Card,Failed
TR_41002796,OR_31002821,Debit Card,Failed
TR_41002797,OR_31009438,Credit Card,Successful
TR_41002798,OR_31002389,Wallet,Failed
TR_41002799,OR_31003755,Wallet,Successful
TR_41002800,OR_31006017,UPI,Successful
TR_41002801,OR_31009726,Debit Card,Failed
TR_41002802,OR_31009848,Credit Card,Successful
TR_41002803,OR_31005843,Wallet,Successful
TR_41002804,OR_31001447,Credit Card,Successful
TR_41002805,OR_31008030,UPI,Failed
TR_41002806,OR_31006891,Net Banking,Failed
TR_41002807,OR_31002445,Debit Card,Successful
TR_41002808,OR_31003663,Credit Card,Successful
TR_41002809,OR_31003917,UPI,Successful
TR_41002810,OR_31002127,UPI,Failed
TR_41002811,OR_31007436,UPI,Failed
TR_41002812,OR_31008463,Net Banking,Failed
TR_41002813,OR_31009589,Credit Card,Failed
TR_41002814,OR_31007974,UPI,Failed
TR_41002815,OR_31009572,UPI,Successful
TR_41002816,OR_31006825,Credit Card,Failed
TR_41002817,OR_31006530,Debit Card,Successful
TR_41002818,OR_31006223,UPI,Failed
TR_41002819,OR_31000790,Debit Card,Successful
TR_41002820,OR_31007482,UPI,Successful
TR_41002821,OR_31005331,Debit Card,Failed
TR_41002822,OR_31002206,Wallet,Failed
TR_41002823,OR_31001421,Net Banking,Successful
TR_41002824,OR_31006808,Net Banking,Successful
TR_41002825,OR_31007939,Debit Card,Successful
TR_41002826,OR_31005137,UPI,Successful
TR_41002827,OR_31006750,Credit Card,Successful
TR_41002828,OR_31006772,Net Banking,Successful
TR_41002829,OR_31004161,Credit Card,Successful
TR_41002830,OR_31009820,UPI,Successful
TR_41002831,OR_31008451,Debit Card,Successful
TR_41002832,OR_31003719,Net Banking,Successful
TR_41002833,OR_31003256,Wallet,Failed
TR_41002834,OR_31006377,UPI,Successful
TR_41002835,OR_31003648,Debit Card,Successful
TR_41002836,OR_31000714,Debit Card,Failed
TR_41002837,OR_31009092,Debit Card,Failed
TR_41002838,OR_31008271,Net Banking,Successful
TR_41002839,OR_31002197,Debit Card,Successful
TR_41002840,OR_31000038,UPI,Failed
TR_41002841,OR_31004890,Debit Card,Failed
TR_41002842,OR_31000290,UPI,Successful
TR_41002843,OR_31000964,UPI,Successful
TR_41002844,OR_31004338,UPI,Failed
TR_41002845,OR_31004842,Wallet,Failed
TR_41002846,OR_31002072,Debit Card,Successful
TR_41002847,OR_31000122,Credit Card,Failed
TR_41002848,OR_31005400,Credit Card,Successful
TR_41002849,OR_31009048,Debit Card,Successful
TR_41002850,OR_31000334,Debit Card,Failed
TR_41002851,OR_31003508,Net Banking,Failed
TR_41002852,OR_31005654,Wallet,Successful
TR_41002853,OR_31004547,Net Banking,Successful
TR_41002854,OR_31008106,Wallet,Successful
TR_41002855,OR_31002560,Credit Card,Failed
TR_41002856,OR_31001158,Credit Card,Successful
TR_41002857,OR_31003474,Credit Card,Failed
TR_41002858,OR_31008686,Debit Card,Failed
TR_41002859,OR_31000713,Debit Card,Successful
TR_41002860,OR_31009159,Credit Card,Successful
TR_41002861,OR_31002574,Credit Card,Successful
TR_41002862,OR_31001979,Credit Card,Successful
TR_41002863,OR_31000863,Credit Card,Failed
TR_41002864,OR_31004987,UPI,Failed
TR_41002865,OR_31004345,Debit Card,Successful
TR_41002866,OR_31008236,Credit Card,Failed
TR_41002867,OR_31008300,Net Banking,Failed
TR_41002868,OR_31000888,Credit Card,Successful
TR_41002869,OR_31006506,UPI,Failed
TR_41002870,OR_31004567,Credit Card,Successful
TR_41002871,OR_31009756,Credit Card,Successful
TR_41002872,OR_31007934,Credit Card,Successful
TR_41002873,OR_31006697,Credit Card,Failed
TR_41002874,OR_31001388,Credit Card,Successful
TR_41002875,OR_31004581,Net Banking,Failed
TR_41002876,OR_31003625,Net Banking,Failed
TR_41002877,OR_31002396,Net Banking,Successful
TR_41002878,OR_31009412,Wallet,Successful
TR_41002879,OR_31001829,Credit Card,Successful
TR_41002880,OR_31001168,Wallet,Failed
TR_41002881,OR_31000720,UPI,Failed
TR_41002882,OR_31002998,UPI,Successful
TR_41002883,OR_31000197,Debit Card,Successful
TR_41002884,OR_31005580,Debit Card,Failed
TR_41002885,OR_31006178,Debit Card,Failed
TR_41002886,OR_31009349,Debit Card,Successful
TR_41002887,OR_31004638,Wallet,Failed
TR_41002888,OR_31002485,Wallet,Failed
TR_41002889,OR_31002167,Debit Card,Successful
TR_41002890,OR_31003227,Debit Card,Failed
TR_41002891,OR_31003250,Debit Card,Failed
TR_41002892,OR_31002304,Credit Card,Successful
TR_41002893,OR_31008836,Wallet,Failed
TR_41002894,OR_31002620,Wallet,Successful
TR_41002895,OR_31006032,Wallet,Failed
TR_41002896,OR_31007663,UPI,Successful
TR_41002897,OR_31002444,Net Banking,Successful
TR_41002898,OR_31009237,UPI,Successful
TR_41002899,OR_31008735,Wallet,Successful
TR_41002900,OR_31001950,Net Banking,Failed
TR_41002901,OR_31004087,UPI,Failed
TR_41002902,OR_31001838,UPI,Failed
TR_41002903,OR_31008782,Net Banking,Failed
TR_41002904,OR_31000803,UPI,Failed
TR_41002905,OR_31005866,Wallet,Successful
TR_41002906,OR_31006716,UPI,Failed
TR_41002907,OR_31006081,Net Banking,Failed
TR_41002908,OR_31000147,Net Banking,Failed
TR_41002909,OR_31007628,UPI,Successful
TR_41002910,OR_31006343,UPI,Failed
TR_41002911,OR_31006239,Debit Card,Failed
TR_41002912,OR_31000221,Net Banking,Successful
TR_41002913,OR_31001534,Credit Card,Failed
TR_41002914,OR_31008060,Debit Card,Successful
TR_41002915,OR_31006026,Credit Card,Successful
TR_41002916,OR_31006291,Credit Card,Failed
TR_41002917,OR_31009500,Debit Card,Successful
TR_41002918,OR_31001046,UPI,Successful
TR_41002919,OR_31001157,Wallet,Successful
TR_41002920,OR_31004383,Net Banking,Successful
TR_41002921,OR_31009979,Debit Card,Successful
TR_41002922,OR_31006786,Wallet,Successful
TR_41002923,OR_31003058,Wallet,Successful
TR_41002924,OR_31003799,UPI,Successful
TR_41002925,OR_31007749,Credit Card,Successful
TR_41002926,OR_31002061,Credit Card,Failed
TR_41002927,OR_31001451,Debit Card,Failed
TR_41002928,OR_31000383,Credit Card,Failed
TR_41002929,OR_31006102,Net Banking,Failed
TR_41002930,OR_31001024,Net Banking,Successful
TR_41002931,OR_31003202,Debit Card,Successful
TR_41002932,OR_31002024,Net Banking,Successful
TR_41002933,OR_31006326,Debit Card,Successful
TR_41002934,OR_31005924,Debit Card,Failed
TR_41002935,OR_31009152,Wallet,Successful
TR_41002936,OR_31005467,Credit Card,Successful
TR_41002937,OR_31008464,Wallet,Failed
TR_41002938,OR_31003375,Wallet,Successful
TR_41002939,OR_31003939,Wallet,Successful
TR_41002940,OR_31004072,UPI,Successful
TR_41002941,OR_31006535,Debit Card,Failed
TR_41002942,OR_31009188,Net Banking,Failed
TR_41002943,OR_31002389,UPI,Successful
TR_41002944,OR_31008347,Debit Card,Failed
TR_41002945,OR_31003167,Credit Card,Failed
TR_41002946,OR_31006971,Credit Card,Successful
TR_41002947,OR_31001877,Credit Card,Successful
TR_41002948,OR_31001927,UPI,Failed
TR_41002949,OR_31007005,Debit Card,Failed
TR_41002950,OR_31004826,UPI,Failed
TR_41002951,OR_31009713,Net Banking,Failed
TR_41002952,OR_31009011,Net Banking,Failed
TR_41002953,OR_31006077,Debit Card,Successful
TR_41002954,OR_31005503,Wallet,Failed
TR_41002955,OR_31008369,Credit Card,Failed
TR_41002956,OR_31004433,UPI,Successful
TR_41002957,OR_31008502,Credit Card,Successful
TR_41002958,OR_31009351,Net Banking,Successful
TR_41002959,OR_31001659,Net Banking,Failed
TR_41002960,OR_31009228,Net Banking,Failed
TR_41002961,OR_31003971,Debit Card,Failed
TR_41002962,OR_31006873,Wallet,Failed
TR_41002963,OR_31000187,Net Banking,Successful
TR_41002964,OR_31001092,Net Banking,Successful
TR_41002965,OR_31005796,UPI,Failed
TR_41002966,OR_31007904,Net Banking,Successful
TR_41002967,OR_31009788,Net Banking,Successful
TR_41002968,OR_31006405,Wallet,Failed
TR_41002969,OR_31008502,Credit Card,Failed
TR_41002970,OR_31001138,Credit Card,Successful
TR_41002971,OR_31006459,Net Banking,Successful
TR_41002972,OR_31000516,Wallet,Failed
TR_41002973,OR_31002642,UPI,Failed
TR_41002974,OR_31006710,Credit Card,Failed
TR_41002975,OR_31001063,UPI,Failed
TR_41002976,OR_31007017,Credit Card,Failed
TR_41002977,OR_31001987,Debit Card,Failed
TR_41002978,OR_31005855,Credit Card,Successful
TR_41002979,OR_31006966,Net Banking,Successful
TR_41002980,OR_31007063,Net Banking,Successful
TR_41002981,OR_31006128,Net Banking,Failed
TR_41002982,OR_31000686,Debit Card,Successful
TR_41002983,OR_31005263,Debit Card,Successful
TR_41002984,OR_31008507,Credit Card,Successful
TR_41002985,OR_31004800,Credit Card,Successful
TR_41002986,OR_31001291,Credit Card,Failed
TR_41002987,OR_31003910,UPI,Successful
TR_41002988,OR_31006183,Wallet,Failed
TR_41002989,OR_31008412,UPI,Failed
TR_41002990,OR_31002175,Credit Card,Failed
TR_41002991,OR_31006965,UPI,Failed
TR_41002992,OR_31008815,Debit Card,Failed
TR_41002993,OR_31006927,Debit Card,Successful
TR_41002994,OR_31007357,Wallet,Successful
TR_41002995,OR_31006801,Net Banking,Successful
TR_41002996,OR_31009246,UPI,Failed
TR_41002997,OR_31004418,Wallet,Failed
TR_41002998,OR_31002392,Wallet,Failed
TR_41002999,OR_31007465,Net Banking,Successful
TR_41003000,OR_31005305,UPI,Failed
TR_41003001,OR_31009262,Net Banking,Failed
TR_41003002,OR_31005522,Debit Card,Successful
TR_41003003,OR_31004876,Wallet,Successful
TR_41003004,OR_31002726,Net Banking,Failed
TR_41003005,OR_31008420,Net Banking,Failed
TR_41003006,OR_31001076,UPI,Successful
TR_41003007,OR_31007018,UPI,Successful
TR_41003008,OR_31003632,Wallet,Successful
TR_41003009,OR_31006017,Wallet,Failed
TR_41003010,OR_31002159,Wallet,Failed
TR_41003011,OR_31006688,Credit Card,Successful
TR_41003012,OR_31003088,Debit Card,Successful
TR_41003013,OR_31003313,UPI,Successful
TR_41003014,OR_31000941,Credit Card,Successful
TR_41003015,OR_31000077,Credit Card,Successful
TR_41003016,OR_31008021,Debit Card,Failed
TR_41003017,OR_31004822,Credit Card,Failed
TR_41003018,OR_31001001,Credit Card,Failed
TR_41003019,OR_31002214,UPI,Failed
TR_41003020,OR_31002939,UPI,Failed
TR_41003021,OR_31002042,Credit Card,Failed
TR_41003022,OR_31003526,Debit Card,Successful
TR_41003023,OR_31003326,Debit Card,Successful
TR_41003024,OR_31004956,Debit Card,Failed
TR_41003025,OR_31006767,Net Banking,Successful
TR_41003026,OR_31002960,UPI,Successful
TR_41003027,OR_31002774,Credit Card,Failed
TR_41003028,OR_31005671,Net Banking,Successful
TR_41003029,OR_31009399,Debit Card,Failed
TR_41003030,OR_31003044,UPI,Failed
TR_41003031,OR_31000955,UPI,Successful
TR_41003032,OR_31000278,Wallet,Failed
TR_41003033,OR_31000773,Credit Card,Failed
TR_41003034,OR_31001744,Credit Card,Successful
TR_41003035,OR_31004871,UPI,Successful
TR_41003036,OR_31005994,Wallet,Failed
TR_41003037,OR_31003978,UPI,Successful
TR_41003038,OR_31004975,Wallet,Failed
TR_41003039,OR_31004069,Credit Card,Failed
TR_41003040,OR_31004900,Net Banking,Successful
TR_41003041,OR_31004473,Credit Card,Successful
TR_41003042,OR_31005632,Debit Card,Failed
TR_41003043,OR_31007011,Debit Card,Failed
TR_41003044,OR_31000439,Net Banking,Successful
TR_41003045,OR_31005690,Credit Card,Successful
TR_41003046,OR_31003128,Wallet,Failed
TR_41003047,OR_31008609,Net Banking,Failed
TR_41003048,OR_31008657,UPI,Successful
TR_41003049,OR_31006952,Debit Card,Failed
TR_41003050,OR_31008128,UPI,Failed
TR_41003051,OR_31002296,UPI,Failed
TR_41003052,OR_31007786,Debit Card,Failed
TR_41003053,OR_31005465,Net Banking,Successful
TR_41003054,OR_31003519,Net Banking,Successful
TR_41003055,OR_31005005,Wallet,Successful
TR_41003056,OR_31001043,Wallet,Failed
TR_41003057,OR_31002618,Wallet,Successful
TR_41003058,OR_31003282,UPI,Failed
TR_41003059,OR_31005000,Credit Card,Successful
TR_41003060,OR_31004511,UPI,Failed
TR_41003061,OR_31000957,Debit Card,Failed
TR_41003062,OR_31007562,Wallet,Successful
TR_41003063,OR_31002026,Credit Card,Successful
TR_41003064,OR_31001394,Credit Card,Successful
TR_41003065,OR_31007895,UPI,Failed
TR_41003066,OR_31006008,UPI,Successful
TR_41003067,OR_31005499,Credit Card,Successful
TR_41003068,OR_31001886,Debit Card,Successful
TR_41003069,OR_31001287,Wallet,Successful
TR_41003070,OR_31003116,Credit Card,Failed
TR_41003071,OR_31004810,Wallet,Failed
TR_41003072,OR_31000036,Wallet,Failed
TR_41003073,OR_31001379,Credit Card,Successful
TR_41003074,OR_31007300,Net Banking,Successful
TR_41003075,OR_31000947,Credit Card,Failed
TR_41003076,OR_31005005,Debit Card,Failed
TR_41003077,OR_31004037,Wallet,Failed
TR_41003078,OR_31009283,UPI,Failed
TR_41003079,OR_31009625,Wallet,Successful
TR_41003080,OR_31004522,Debit Card,Failed
TR_41003081,OR_31003855,Net Banking,Failed
TR_41003082,OR_31006444,Credit Card,Failed
TR_41003083,OR_31004127,UPI,Successful
TR_41003084,OR_31008832,Wallet,Successful
TR_41003085,OR_31003065,UPI,Failed
TR_41003086,OR_31009613,Debit Card,Failed
TR_41003087,OR_31001142,Net Banking,Failed
TR_41003088,OR_31007719,Credit Card,Successful
TR_41003089,OR_31002365,Debit Card,Successful
TR_41003090,OR_31003376,Credit Card,Failed
TR_41003091,OR_31009642,UPI,Successful
TR_41003092,OR_31008679,Wallet,Failed
TR_41003093,OR_31001559,Credit Card,Successful
TR_41003094,OR_31009939,UPI,Failed
TR_41003095,OR_31004083,Debit Card,Failed
TR_41003096,OR_31002747,UPI,Failed
TR_41003097,OR_31008555,Wallet,Failed
TR_41003098,OR_31001950,UPI,Successful
TR_41003099,OR_31002420,Credit Card,Failed
TR_41003100,OR_31007175,UPI,Failed
TR_41003101,OR_31003170,Credit Card,Successful
TR_41003102,OR_31004769,Debit Card,Failed
TR_41003103,OR_31007746,Credit Card,Successful
TR_41003104,OR_31003444,Debit Card,Successful
TR_41003105,OR_31009878,Net Banking,Successful
TR_41003106,OR_31007812,Wallet,Successful
TR_41003107,OR_31002950,Debit Card,Failed
TR_41003108,OR_31001486,Credit Card,Successful
TR_41003109,OR_31008660,Debit Card,Successful
TR_41003110,OR_31003390,Credit Card,Failed
TR_41003111,OR_31007962,Net Banking,Successful
TR_41003112,OR_31006150,Net Banking,Failed
TR_41003113,OR_31004510,Credit Card,Successful
TR_41003114,OR_31009330,Credit Card,Failed
TR_41003115,OR_31000240,Debit Card,Failed
TR_41003116,OR_31005250,Credit Card,Failed
TR_41003117,OR_31000480,Wallet,Failed
TR_41003118,OR_31003429,Debit Card,Failed
TR_41003119,OR_31009046,UPI,Successful
TR_41003120,OR_31001901,Wallet,Successful
TR_41003121,OR_31003855,Debit Card,Failed
TR_41003122,OR_31005106,Wallet,Failed
TR_41003123,OR_31005952,Debit Card,Failed
TR_41003124,OR_31009093,Net Banking,Failed
TR_41003125,OR_31009074,UPI,Successful
TR_41003126,OR_31008993,Wallet,Successful
TR_41003127,OR_31000387,Credit Card,Successful
TR_41003128,OR_31008319,Wallet,Failed
TR_41003129,OR_31001961,Debit Card,Successful
TR_41003130,OR_31002791,Credit Card,Successful
TR_41003131,OR_31004741,Net Banking,Successful
TR_41003132,OR_31008852,Net Banking,Failed
TR_41003133,OR_31002584,Credit Card,Failed
TR_41003134,OR_31009477,UPI,Successful
TR_41003135,OR_31007393,Debit Card,Failed
TR_41003136,OR_31004094,Net Banking,Successful
TR_41003137,OR_31002677,Credit Card,Failed
TR_41003138,OR_31006584,Credit Card,Failed
TR_41003139,OR_31000423,Debit Card,Failed
TR_41003140,OR_31008197,Wallet,Failed
TR_41003141,OR_31008538,Net Banking,Failed
TR_41003142,OR_31000250,Wallet,Successful
TR_41003143,OR_31004593,Credit Card,Successful
TR_41003144,OR_31003575,Wallet,Failed
TR_41003145,OR_31003043,UPI,Failed
TR_41003146,OR_31004735,Debit Card,Failed
TR_41003147,OR_31003547,UPI,Failed
TR_41003148,OR_31002556,Wallet,Failed
TR_41003149,OR_31004685,Debit Card,Successful
TR_41003150,OR_31005024,Net Banking,Failed
TR_41003151,OR_31004431,Wallet,Successful
TR_41003152,OR_31001008,Net Banking,Failed
TR_41003153,OR_31001774,Debit Card,Failed
TR_41003154,OR_31002072,Debit Card,Failed
TR_41003155,OR_31005866,Debit Card,Failed
TR_41003156,OR_31006974,Debit Card,Failed
TR_41003157,OR_31009056,Net Banking,Failed
TR_41003158,OR_31004479,UPI,Failed
TR_41003159,OR_31006618,Wallet,Failed
TR_41003160,OR_31003519,Net Banking,Successful
TR_41003161,OR_31006135,Debit Card,Failed
TR_41003162,OR_31003491,Net Banking,Failed
TR_41003163,OR_31004057,Debit Card,Failed
TR_41003164,OR_31008824,Wallet,Failed
TR_41003165,OR_31001728,Debit Card,Successful
TR_41003166,OR_31004729,Net Banking,Failed
TR_41003167,OR_31007413,Credit Card,Successful
TR_41003168,OR_31001823,Debit Card,Successful
TR_41003169,OR_31004441,Wallet,Failed
TR_41003170,OR_31002359,UPI,Failed
TR_41003171,OR_31002953,Net Banking,Successful
TR_41003172,OR_31004601,Debit Card,Failed
TR_41003173,OR_31004098,Debit Card,Failed
TR_41003174,OR_31003535,UPI,Failed
TR_41003175,OR_31007848,Net Banking,Failed
TR_41003176,OR_31002785,Wallet,Failed
TR_41003177,OR_31002201,UPI,Successful
TR_41003178,OR_31008489,Wallet,Failed
TR_41003179,OR_31009392,Wallet,Successful
TR_41003180,OR_31002925,Debit Card,Successful
TR_41003181,OR_31004714,UPI,Successful
TR_41003182,OR_31002544,Wallet,Successful
TR_41003183,OR_31009890,UPI,Successful
TR_41003184,OR_31007982,UPI,Failed
TR_41003185,OR_31007940,Credit Card,Successful
TR_41003186,OR_31006396,Debit Card,Successful
TR_41003187,OR_31007158,UPI,Successful
TR_41003188,OR_31007396,Wallet,Successful
TR_41003189,OR_31008513,UPI,Failed
TR_41003190,OR_31000996,Debit Card,Successful
TR_41003191,OR_31005436,Wallet,Successful
TR_41003192,OR_31009499,UPI,Successful
TR_41003193,OR_31000458,Credit Card,Failed
TR_41003194,OR_31008955,Credit Card,Successful
TR_41003195,OR_31007852,UPI,Failed
TR_41003196,OR_31006661,Debit Card,Failed
TR_41003197,OR_31001142,Credit Card,Failed
TR_41003198,OR_31006960,Wallet,Failed
TR_41003199,OR_31006771,Wallet,Successful
TR_41003200,OR_31008394,Wallet,Failed
TR_41003201,OR_31008775,Credit Card,Failed
TR_41003202,OR_31008743,Credit Card,Successful
TR_41003203,OR_31003436,Wallet,Successful
TR_41003204,OR_31007104,Net Banking,Failed
TR_41003205,OR_31005761,Wallet,Failed
TR_41003206,OR_31003469,Debit Card,Successful
TR_41003207,OR_31000117,Wallet,Failed
TR_41003208,OR_31007446,UPI,Failed
TR_41003209,OR_31008843,Net Banking,Failed
TR_41003210,OR_31005252,Wallet,Failed
TR_41003211,OR_31004026,Wallet,Successful
TR_41003212,OR_31007133,UPI,Failed
TR_41003213,OR_31005114,Debit Card,Failed
TR_41003214,OR_31002594,UPI,Failed
TR_41003215,OR_31001064,Debit Card,Successful
TR_41003216,OR_31008558,Credit Card,Successful
TR_41003217,OR_31005085,Wallet,Successful
TR_41003218,OR_31008838,Credit Card,Successful
TR_41003219,OR_31003394,Wallet,Failed
TR_41003220,OR_31002461,UPI,Failed
TR_41003221,OR_31005698,Credit Card,Successful
TR_41003222,OR_31001493,Wallet,Successful
TR_41003223,OR_31009851,UPI,Failed
TR_41003224,OR_31006659,UPI,Failed
TR_41003225,OR_31007553,Wallet,Successful
TR_41003226,OR_31001622,Wallet,Failed
TR_41003227,OR_31007997,Debit Card,Successful
TR_41003228,OR_31009806,Net Banking,Failed
TR_41003229,OR_31001322,Credit Card,Failed
TR_41003230,OR_31001033,UPI,Successful
TR_41003231,OR_31007138,Net Banking,Successful
TR_41003232,OR_31004368,Wallet,Failed
TR_41003233,OR_31008376,Debit Card,Successful
TR_41003234,OR_31006248,Wallet,Successful
TR_41003235,OR_31002604,Wallet,Successful
TR_41003236,OR_31007198,Credit Card,Successful
TR_41003237,OR_31002651,Net Banking,Successful
TR_41003238,OR_31005855,Wallet,Failed
TR_41003239,OR_31004833,Debit Card,Failed
TR_41003240,OR_31004018,Net Banking,Successful
TR_41003241,OR_31009787,UPI,Successful
TR_41003242,OR_31008391,Debit Card,Failed
TR_41003243,OR_31005400,UPI,Failed
TR_41003244,OR_31002190,UPI,Failed
TR_41003245,OR_31000634,UPI,Failed
TR_41003246,OR_31009978,Debit Card,Successful
TR_41003247,OR_31005638,UPI,Successful
TR_41003248,OR_31009239,Credit Card,Failed
TR_41003249,OR_31003709,Debit Card,Successful
TR_41003250,OR_31001350,Net Banking,Failed
TR_41003251,OR_31003001,Debit Card,Failed
TR_41003252,OR_31006567,Wallet,Successful
TR_41003253,OR_31003324,Credit Card,Failed
TR_41003254,OR_31009370,Wallet,Failed
TR_41003255,OR_31002215,UPI,Successful
TR_41003256,OR_31007955,Credit Card,Failed
TR_41003257,OR_31009797,Debit Card,Failed
TR_41003258,OR_31000022,UPI,Successful
TR_41003259,OR_31003874,Net Banking,Successful
TR_41003260,OR_31000473,Debit Card,Successful
TR_41003261,OR_31002697,UPI,Successful
TR_41003262,OR_31008762,Wallet,Successful
TR_41003263,OR_31006300,Net Banking,Successful
TR_41003264,OR_31000051,Net Banking,Successful
TR_41003265,OR_31004834,Wallet,Successful
TR_41003266,OR_31008113,Wallet,Failed
TR_41003267,OR_31009750,UPI,Failed
TR_41003268,OR_31002505,Wallet,Failed
TR_41003269,OR_31005473,Credit Card,Failed
TR_41003270,OR_31005924,Wallet,Failed
TR_41003271,OR_31003515,UPI,Successful
TR_41003272,OR_31007598,UPI,Successful
TR_41003273,OR_31009375,UPI,Failed
TR_41003274,OR_31000940,Credit Card,Failed
TR_41003275,OR_31000702,UPI,Successful
TR_41003276,OR_31009975,UPI,Failed
TR_41003277,OR_31002441,UPI,Failed
TR_41003278,OR_31003332,Debit Card,Successful
TR_41003279,OR_31007445,Credit Card,Failed
TR_41003280,OR_31005672,Credit Card,Successful
TR_41003281,OR_31006394,Credit Card,Successful
TR_41003282,OR_31004006,Net Banking,Failed
TR_41003283,OR_31007507,Credit Card,Successful
TR_41003284,OR_31003790,Wallet,Failed
TR_41003285,OR_31001958,Wallet,Successful
TR_41003286,OR_31004174,Debit Card,Failed
TR_41003287,OR_31009920,UPI,Successful
TR_41003288,OR_31006414,Wallet,Failed
TR_41003289,OR_31008104,UPI,Successful
TR_41003290,OR_31005557,Net Banking,Failed
TR_41003291,OR_31008599,Net Banking,Failed
TR_41003292,OR_31006066,Credit Card,Failed
TR_41003293,OR_31005231,Credit Card,Failed
TR_41003294,OR_31005622,UPI,Failed
TR_41003295,OR_31000179,Credit Card,Failed
TR_41003296,OR_31001174,Wallet,Failed
TR_41003297,OR_31001894,Debit Card,Failed
TR_41003298,OR_31009525,Credit Card,Successful
TR_41003299,OR_31004478,Credit Card,Successful
TR_41003300,OR_31007452,UPI,Failed
TR_41003301,OR_31007270,Debit Card,Successful
TR_41003302,OR_31002526,UPI,Failed
TR_41003303,OR_31007007,Net Banking,Failed
TR_41003304,OR_31009011,Wallet,Failed
TR_41003305,OR_31002479,Credit Card,Successful
TR_41003306,OR_31005792,UPI,Successful
TR_41003307,OR_31001437,Credit Card,Successful
TR_41003308,OR_31007906,UPI,Successful
TR_41003309,OR_31007733,Credit Card,Failed
TR_41003310,OR_31004802,Credit Card,Failed
TR_41003311,OR_31003956,Debit Card,Successful
TR_41003312,OR_31002318,Credit Card,Failed
TR_41003313,OR_31000400,Net Banking,Failed
TR_41003314,OR_31007461,Debit Card,Failed
